"Categorie";"Champ spécifique";"Nom Web Service"
"Luminaire";"Emplacement";"emplacement"
"Luminaire";"Etat";"etat"
"Luminaire";"Matière";"matiere"
"Luminaire";"Eclairage";"eclairage"
"Luminaire";"Type";"type_1"
"Luminaire";"Couleur";"couleur"
"Luminaire";"Sous-type";"sous_type"
"Luminaire";"Forme";"forme"
"Luminaire";"Marque";"marque"
"Luminaire";"Période";"periode"
"Luminaire";"Style";"style"
"Luminaire";"Caractéristiques";"caracteristiques"
"Luminaire";"Culot";"support_compatible"
"Luminaire";"Puissance maxi (Watts)";"puissance"
"Luminaire";"Alimentation";"connectique"
"Luminaire";"Garantie constructeur";"garantie_constructeur"
"Luminaire";"Garantie Marchand";"garantie_marchand"
