"Categorie";"Champ spécifique";"Nom Web Service"
"Sport";"Matiere";"matiere"
"Sport";"Type";"type_1"
"Sport";"Genre";"genre"
"Sport";"Etat 2";"etat"
"Sport";"Taille";"taille"
"Sport";"Couleur";"couleur"
"Sport";"Longueur (cm)";"longueur"
"Sport";"Marque";"marque"
"Sport";"Categorie du cheval";"categorie"
"Sport";"Saison";"saison"
"Sport";"Domaine d'utilisation";"domaine_utilisation"
"Sport";"Type de sport";"type_sport"
"Sport";"Dimensions (cm)";"dimensions"
"Sport";"Mois";"mois"
"Sport";"Jour de l'evenement";"jour"
"Sport";"Annee";"annee"
"Sport";"Nombre de billets";"nombre_billets"
"Sport";"Devise";"devise"
"Sport";"Prix d'achat du billet (par billet)";"prix"
"Sport";"Poids (Kg)";"poids"
"Sport";"Peche en mer/riviere";"mer_riviere"
"Sport";"Nombre de Clubs";"nombre_clubs"
"Sport";"Porte";"porte"
"Sport";"Suspension";"suspension"
"Sport";"Famille de sport";"famille_sport"
"Sport";"Sous-type";"sous_type"
"Sport";"Forme";"forme"
"Sport";"Nombre de pieces";"nombre_pieces"
"Sport";"Caracteristiques";"caracteristiques"
"Sport";"Hauteur (cm)";"hauteur"
"Sport";"Largeur (cm)";"largeur"
"Sport";"Diametre roues (Pouces)";"diametre"
"Sport";"Nombre de vitesses";"nombre_vitesses"
"Sport";"Selection, Club";"clubs"
"Sport";"Dedicace";"dedicace"
"Sport";"Dexterite";"dexterite"
"Sport";"Eclairage";"eclairage"
"Sport";"Energie";"energie"
"Sport";"Equipe";"equipe"
"Sport";"Freins";"freins"
"Sport";"Joueur";"joueur"
"Sport";"Type de protection";"type_protection"
"Sport";"Pointure";"pointure"
"Sport";"profondeur";"profondeur"
"Sport";"techno fr";"techno_fr"
"Sport";"techno fixation fr";"techno_fixation_fr"
"Sport";"valeur din fr";"valeur_din_fr"
"Sport";"reglage fr";"reglage_fr"
"Sport";"flex";"flex"
"Sport";"description fixation fr";"description_fixation_fr"
"Sport";"spatule";"spatule"
"Sport";"patin";"patin"
"Sport";"talon";"talon"
"Sport";"rayon";"rayon"
"Sport";"longueur semelle mm";"longueur_semelle_mm"
"Sport";"largeur torse";"largeur_torse"
"Sport";"largeur bas epaule";"largeur_bas_epaule"
"Sport";"longueur manche";"longueur_manche"
"Sport";"longueur sous manche";"longueur_sous_manche"
"Sport";"largeur taille";"largeur_taille"
"Sport";"longueur jambe";"longueur_jambe"
"Sport";"entre jambe";"entre_jambe"
"Sport";"tour de tete";"tour_de_tete"
"Sport";"tube direction";"tube_direction"
"Sport";"tube horizontal";"tube_horizontal"
"Sport";"tube de selle";"tube_de_selle"
"Sport";"longueur de base";"longueur_de_base"
"Sport";"diametre tube selle";"diametre_tube_selle"
"Sport";"angle direction";"angle_direction"
"Sport";"taille skieur baton";"taille_skieur_baton"
"Sport";"pointure eu";"pointure_eu"
"Sport";"pointure mp";"pointure_mp"
"Sport";"garantie";"garantie"
"Sport";"gamme";"gamme"
"Sport";"niveau";"niveau"
"Sport";"conditionnement";"conditionnement"
"Sport";"description gamme";"description_gamme"
"Sport";"taille skieur ski";"taille_skieur_ski"
"Sport";"titre gamme";"titre_gamme"
"Sport";"Sexe";"sexe"
"Sport";"Age";"age"
"Sport";"Grille de taille";"grille_taille"
