"Categorie";"Champ spécifique";"Nom Web Service"
"Monnaies";"Epoque";"epoque"
"Monnaies";"Theme";"theme"
"Monnaies";"Annee";"annee"
"Monnaies";"Origine";"origine"
"Monnaies";"Genre";"genre"
"Monnaies";"Etat 2";"etat"
"Monnaies";"Lot";"lot"
"Monnaies";"Civilisation";"civilisation"
"Monnaies";"Periode";"periode"
"Monnaies";"Qualite";"qualite"
"Monnaies";"Region";"region"
"Monnaies";"Type";"type_1"
"Monnaies";"Pays";"pays"
"Monnaies";"Metal";"metal"
"Monnaies";"Personnage";"personnage"
"Monnaies";"Valeur faciale";"valeur_faciale"
